,Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
43,Barcelona - Ciutadella,Good,2.1874,41.3864,4h,Good,50.0,4h,Good,26.0,,Good,0.0,01/11/2018 5:00,1541045102
44,Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,69.0,4h,Good,7.0,,Good,0.0,01/11/2018 5:00,1541045102
45,Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,48.0,4h,Good,8.0,5h,Good,21.0,01/11/2018 5:00,1541045102
46,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,4h,Good,25.0,5h,Good,27.0,01/11/2018 5:00,1541045102
47,Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,81.0,4h,Good,2.0,5h,Good,18.0,01/11/2018 5:00,1541045102
48,Barcelona - Sants,--,2.1331,41.3788,,Good,0.0,4h,--,0.0,,Good,0.0,01/11/2018 6:00,1541048703
49,Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,37.0,5h,Good,31.0,6h,Good,27.0,01/11/2018 6:00,1541048703
50,Barcelona - Gràcia,Good,2.1534,41.3987,5h,Good,51.0,5h,Good,19.0,,Good,0.0,01/11/2018 6:00,1541048703
51,Barcelona - Ciutadella,Good,2.1874,41.3864,5h,Good,52.0,5h,Good,18.0,,Good,0.0,01/11/2018 6:00,1541048703
52,Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,63.0,5h,Good,8.0,,Good,0.0,01/11/2018 6:00,1541048703
53,Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,41.0,5h,Good,11.0,6h,Good,17.0,01/11/2018 6:00,1541048703
54,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,5h,Good,27.0,6h,Good,24.0,01/11/2018 6:00,1541048703
55,Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,77.0,5h,Good,2.0,5h,Good,18.0,01/11/2018 6:00,1541048703
56,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,6h,Good,17.0,,Good,0.0,01/11/2018 7:00,1541052302
57,Barcelona - Eixample,Good,2.1538,41.3853,6h,Good,24.0,6h,Good,37.0,7h,Good,25.0,01/11/2018 7:00,1541052302
58,Barcelona - Gràcia,Good,2.1534,41.3987,6h,Good,45.0,6h,Good,19.0,,Good,0.0,01/11/2018 7:00,1541052302
59,Barcelona - Ciutadella,Good,2.1874,41.3864,6h,Good,46.0,6h,Good,17.0,,Good,0.0,01/11/2018 7:00,1541052302
60,Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,54.0,6h,Good,11.0,,Good,0.0,01/11/2018 7:00,1541052302
61,Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,28.0,6h,Good,17.0,7h,Good,15.0,01/11/2018 7:00,1541052302
62,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,6h,Good,22.0,7h,Good,21.0,01/11/2018 7:00,1541052302
63,Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,69.0,6h,Good,2.0,7h,Good,10.0,01/11/2018 7:00,1541052302
64,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,7h,Good,25.0,,Good,0.0,01/11/2018 8:00,1541055903
65,Barcelona - Eixample,Good,2.1538,41.3853,7h,Good,18.0,7h,Good,42.0,7h,Good,24.0,01/11/2018 8:00,1541055903
66,Barcelona - Gràcia,Good,2.1534,41.3987,7h,Good,39.0,7h,Good,21.0,,Good,0.0,01/11/2018 8:00,1541055903
67,Barcelona - Ciutadella,Good,2.1874,41.3864,7h,Good,36.0,7h,Good,21.0,,Good,0.0,01/11/2018 8:00,1541055903
68,Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,37.0,7h,Good,26.0,,Good,0.0,01/11/2018 8:00,1541055903
69,Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,10.0,7h,Good,34.0,8h,Good,13.0,01/11/2018 8:00,1541055903
70,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,7h,Good,22.0,8h,Good,20.0,01/11/2018 8:00,1541055903
71,Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,67.0,7h,Good,2.0,8h,Good,8.0,01/11/2018 8:00,1541055903
72,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,8h,Good,45.0,,Good,0.0,01/11/2018 9:00,1541059503
73,Barcelona - Eixample,Good,2.1538,41.3853,8h,Good,6.0,8h,Good,52.0,9h,Good,21.0,01/11/2018 9:00,1541059503
74,Barcelona - Gràcia,Good,2.1534,41.3987,8h,Good,17.0,8h,Good,43.0,,Good,0.0,01/11/2018 9:00,1541059503
75,Barcelona - Ciutadella,Good,2.1874,41.3864,8h,Good,18.0,8h,Good,34.0,,Good,0.0,01/11/2018 9:00,1541059503
