,Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
1089,Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,37.0,16h,Good,33.0,16h,Good,14.0,06/11/2018 17:00,1541520303
1090,Barcelona - Gràcia,Good,2.1534,41.3987,16h,Good,51.0,16h,Good,18.0,,Good,0.0,06/11/2018 17:00,1541520303
1091,Barcelona - Ciutadella,Good,2.1874,41.3864,16h,Good,49.0,16h,Good,23.0,,Good,0.0,06/11/2018 17:00,1541520303
1092,Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,57.0,16h,Good,13.0,16h,Good,10.0,06/11/2018 17:00,1541520303
1093,Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,46.0,16h,Good,12.0,16h,Good,14.0,06/11/2018 17:00,1541520303
1094,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,16h,Good,20.0,16h,Good,10.0,06/11/2018 17:00,1541520303
1095,Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,66.0,16h,Good,6.0,16h,Good,9.0,06/11/2018 17:00,1541520303
1096,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,17h,Good,18.0,,Good,0.0,06/11/2018 18:00,1541523903
1097,Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,34.0,17h,Good,35.0,17h,Good,13.0,06/11/2018 18:00,1541523903
1098,Barcelona - Gràcia,Good,2.1534,41.3987,17h,Good,40.0,17h,Good,29.0,,Good,0.0,06/11/2018 18:00,1541523903
1099,Barcelona - Ciutadella,Good,2.1874,41.3864,17h,Good,47.0,17h,Good,23.0,,Good,0.0,06/11/2018 18:00,1541523903
1100,Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,51.0,17h,Good,18.0,17h,Good,10.0,06/11/2018 18:00,1541523903
1101,Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,43.0,17h,Good,16.0,17h,Good,14.0,06/11/2018 18:00,1541523903
1102,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,17h,Good,29.0,17h,Good,10.0,06/11/2018 18:00,1541523903
1103,Barcelona - Observ Fabra,Good,2.1239,41.4183,17h,Good,62.0,17h,Good,8.0,17h,Good,8.0,06/11/2018 18:00,1541523903
1104,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,18h,Good,28.0,,Good,0.0,06/11/2018 19:00,1541527503
1105,Barcelona - Eixample,Good,2.1538,41.3853,18h,Good,23.0,18h,Good,44.0,18h,Good,13.0,06/11/2018 19:00,1541527503
1106,Barcelona - Gràcia,Good,2.1534,41.3987,18h,Good,34.0,18h,Good,33.0,,Good,0.0,06/11/2018 19:00,1541527503
1107,Barcelona - Ciutadella,Good,2.1874,41.3864,18h,Good,34.0,18h,Good,37.0,,Good,0.0,06/11/2018 19:00,1541527503
1108,Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,42.0,18h,Good,24.0,18h,Good,10.0,06/11/2018 19:00,1541527503
1109,Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,18.0,18h,Good,43.0,18h,Good,14.0,06/11/2018 19:00,1541527503
1110,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,18h,Good,40.0,18h,Good,11.0,06/11/2018 19:00,1541527503
1111,Barcelona - Observ Fabra,Good,2.1239,41.4183,18h,Good,58.0,18h,Good,10.0,18h,Good,8.0,06/11/2018 19:00,1541527503
1112,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,19h,Good,57.0,,Good,0.0,06/11/2018 20:00,1541531102
1113,Barcelona - Eixample,Good,2.1538,41.3853,19h,Good,12.0,19h,Good,56.0,19h,Good,12.0,06/11/2018 20:00,1541531102
1114,Barcelona - Gràcia,Good,2.1534,41.3987,18h,Good,34.0,18h,Good,33.0,,Good,0.0,06/11/2018 20:00,1541531102
1115,Barcelona - Ciutadella,Good,2.1874,41.3864,19h,Good,19.0,19h,Good,52.0,,Good,0.0,06/11/2018 20:00,1541531102
1116,Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,39.0,19h,Good,30.0,19h,Good,10.0,06/11/2018 20:00,1541531102
1117,Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,20.0,19h,Good,37.0,19h,Good,13.0,06/11/2018 20:00,1541531102
1118,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,19h,Good,49.0,19h,Good,10.0,06/11/2018 20:00,1541531102
1119,Barcelona - Observ Fabra,Good,2.1239,41.4183,19h,Good,58.0,19h,Good,10.0,19h,Good,7.0,06/11/2018 20:00,1541531102
1120,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,20h,Good,46.0,,Good,0.0,06/11/2018 21:00,1541534702
1121,Barcelona - Eixample,Good,2.1538,41.3853,20h,Good,10.0,20h,Good,61.0,20h,Good,12.0,06/11/2018 21:00,1541534702
1122,Barcelona - Gràcia,Good,2.1534,41.3987,18h,Good,34.0,18h,Good,33.0,,Good,0.0,06/11/2018 21:00,1541534702
1123,Barcelona - Ciutadella,Good,2.1874,41.3864,20h,Good,17.0,20h,Good,55.0,,Good,0.0,06/11/2018 21:00,1541534702
1124,Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,50.0,20h,Good,22.0,20h,Good,9.0,06/11/2018 21:00,1541534702
1125,Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,33.0,20h,Good,26.0,20h,Good,12.0,06/11/2018 21:00,1541534702
1126,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,20h,Good,52.0,20h,Good,9.0,06/11/2018 21:00,1541534702
1127,Barcelona - Observ Fabra,Good,2.1239,41.4183,20h,Good,64.0,20h,Good,7.0,20h,Good,7.0,06/11/2018 21:00,1541534702
1128,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,21h,Good,52.0,,Good,0.0,06/11/2018 22:00,1541538303
1129,Barcelona - Eixample,Good,2.1538,41.3853,21h,Good,6.0,21h,Good,70.0,21h,Good,12.0,06/11/2018 22:00,1541538303
1130,Barcelona - Gràcia,--,2.1534,41.3987,19h,--,0.0,19h,--,0.0,,Good,0.0,06/11/2018 22:00,1541538303
1131,Barcelona - Ciutadella,Good,2.1874,41.3864,21h,Good,4.0,21h,Good,70.0,,Good,0.0,06/11/2018 22:00,1541538303
1132,Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,48.0,21h,Good,25.0,21h,Good,8.0,06/11/2018 22:00,1541538303
1133,Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,31.0,21h,Good,31.0,21h,Good,12.0,06/11/2018 22:00,1541538303
1134,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,21h,Good,56.0,21h,Good,9.0,06/11/2018 22:00,1541538303
1135,Barcelona - Observ Fabra,Good,2.1239,41.4183,21h,Good,62.0,21h,Good,11.0,21h,Good,6.0,06/11/2018 22:00,1541538303
1136,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,21h,Good,52.0,,Good,0.0,06/11/2018 23:00,1541541903
1137,Barcelona - Eixample,Good,2.1538,41.3853,22h,Good,6.0,22h,Good,66.0,22h,Good,12.0,06/11/2018 23:00,1541541903
1138,Barcelona - Gràcia,--,2.1534,41.3987,20h,--,0.0,20h,--,0.0,,Good,0.0,06/11/2018 23:00,1541541903
1139,Barcelona - Ciutadella,Good,2.1874,41.3864,22h,Good,8.0,22h,Good,64.0,,Good,0.0,06/11/2018 23:00,1541541903
1140,Barcelona - Vall Hebron,Good,2.148,41.4261,22h,Good,54.0,22h,Good,18.0,22h,Good,8.0,06/11/2018 23:00,1541541903
1141,Barcelona - Palau Reial,Good,2.1151,41.3875,22h,Good,24.0,22h,Good,36.0,22h,Good,12.0,06/11/2018 23:00,1541541903
1142,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,22h,Good,60.0,22h,Good,9.0,06/11/2018 23:00,1541541903
1143,Barcelona - Observ Fabra,Good,2.1239,41.4183,22h,Good,63.0,22h,Good,10.0,22h,Good,6.0,06/11/2018 23:00,1541541903
1144,Barcelona - Sants,--,2.1331,41.3788,,Good,0.0,,Good,0.0,,Good,0.0,07/11/2018 0:00,1541545504
1145,Barcelona - Eixample,Good,2.1538,41.3853,23h,Good,18.0,23h,Good,46.0,23h,Good,11.0,07/11/2018 0:00,1541545504
1146,Barcelona - Gràcia,--,2.1534,41.3987,,Good,0.0,,Good,0.0,,Good,0.0,07/11/2018 0:00,1541545504
1147,Barcelona - Ciutadella,Good,2.1874,41.3864,23h,Good,18.0,23h,Good,54.0,,Good,0.0,07/11/2018 0:00,1541545504
1148,Barcelona - Vall Hebron,Good,2.148,41.4261,23h,Good,59.0,23h,Good,13.0,23h,Good,8.0,07/11/2018 0:00,1541545504
1149,Barcelona - Palau Reial,Good,2.1151,41.3875,23h,Good,28.0,23h,Good,30.0,23h,Good,12.0,07/11/2018 0:00,1541545504
1150,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,23h,Good,48.0,23h,Good,9.0,07/11/2018 0:00,1541545504
1151,Barcelona - Observ Fabra,Good,2.1239,41.4183,23h,Good,69.0,23h,Good,5.0,23h,Good,6.0,07/11/2018 0:00,1541545504
1152,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,0h,Good,52.0,,Good,0.0,07/11/2018 1:00,1541549103
1153,Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,23.0,0h,Good,41.0,1h,Good,11.0,07/11/2018 1:00,1541549103
1154,Barcelona - Gràcia,Good,2.1534,41.3987,0h,Good,37.0,0h,Good,30.0,,Good,0.0,07/11/2018 1:00,1541549103
1155,Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,23.0,0h,Good,48.0,,Good,0.0,07/11/2018 1:00,1541549103
1156,Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,56.0,0h,Good,16.0,0h,Good,8.0,07/11/2018 1:00,1541549103
1157,Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,42.0,0h,Good,16.0,0h,Good,12.0,07/11/2018 1:00,1541549103
1158,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,0h,Good,34.0,0h,Good,9.0,07/11/2018 1:00,1541549103
1159,Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,62.0,0h,Good,10.0,0h,Good,6.0,07/11/2018 1:00,1541549103
1160,Barcelona - Sants,--,2.1331,41.3788,,Good,0.0,23h,--,0.0,,Good,0.0,07/11/2018 2:00,1541552703
1161,Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,29.0,1h,Good,34.0,1h,Good,11.0,07/11/2018 2:00,1541552703
1162,Barcelona - Gràcia,Good,2.1534,41.3987,1h,Good,41.0,1h,Good,26.0,,Good,0.0,07/11/2018 2:00,1541552703
1163,Barcelona - Ciutadella,Good,2.1874,41.3864,1h,Good,17.0,1h,Good,52.0,,Good,0.0,07/11/2018 2:00,1541552703
1164,Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,29.0,1h,Good,41.0,1h,Good,8.0,07/11/2018 2:00,1541552703
1165,Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,40.0,1h,Good,18.0,1h,Good,12.0,07/11/2018 2:00,1541552703
1166,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,1h,Good,30.0,1h,Good,9.0,07/11/2018 2:00,1541552703
1167,Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,50.0,1h,Good,23.0,1h,Good,6.0,07/11/2018 2:00,1541552703
1168,Barcelona - Sants,--,2.1331,41.3788,,Good,0.0,0h,--,0.0,,Good,0.0,07/11/2018 3:00,1541556303
1169,Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,23.0,2h,Good,41.0,2h,Good,11.0,07/11/2018 3:00,1541556303
1170,Barcelona - Gràcia,Good,2.1534,41.3987,1h,Good,41.0,1h,Good,26.0,,Good,0.0,07/11/2018 3:00,1541556303
1171,Barcelona - Ciutadella,Good,2.1874,41.3864,2h,Good,5.0,2h,Good,68.0,,Good,0.0,07/11/2018 3:00,1541556303
1172,Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,33.0,2h,Good,37.0,2h,Good,8.0,07/11/2018 3:00,1541556303
1173,Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,47.0,2h,Good,10.0,2h,Good,11.0,07/11/2018 3:00,1541556303
1174,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,2h,Good,47.0,2h,Good,9.0,07/11/2018 3:00,1541556303
1175,Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,66.0,2h,Good,9.0,2h,Good,5.0,07/11/2018 3:00,1541556303
1176,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,3h,Good,21.0,,Good,0.0,07/11/2018 4:00,1541559903
1177,Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,28.0,3h,Good,35.0,3h,Good,11.0,07/11/2018 4:00,1541559903
1178,Barcelona - Gràcia,Good,2.1534,41.3987,1h,Good,41.0,1h,Good,26.0,,Good,0.0,07/11/2018 4:00,1541559903
1179,Barcelona - Ciutadella,Good,2.1874,41.3864,3h,Good,6.0,3h,Good,57.0,,Good,0.0,07/11/2018 4:00,1541559903
1180,Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,24.0,3h,Good,41.0,4h,Good,7.0,07/11/2018 4:00,1541559903
1181,Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,50.0,3h,Good,7.0,3h,Good,11.0,07/11/2018 4:00,1541559903
1182,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,3h,Good,42.0,3h,Good,9.0,07/11/2018 4:00,1541559903
1183,Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,70.0,3h,Good,6.0,3h,Good,5.0,07/11/2018 4:00,1541559903
1184,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,4h,Good,17.0,,Good,0.0,07/11/2018 5:00,1541563503
1185,Barcelona - Eixample,Good,2.1538,41.3853,4h,Good,6.0,4h,Good,61.0,4h,Good,11.0,07/11/2018 5:00,1541563503
1186,Barcelona - Gràcia,--,2.1534,41.3987,2h,--,0.0,2h,--,0.0,,Good,0.0,07/11/2018 5:00,1541563503
1187,Barcelona - Ciutadella,Good,2.1874,41.3864,4h,Good,8.0,4h,Good,49.0,,Good,0.0,07/11/2018 5:00,1541563503
1188,Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,58.0,4h,Good,14.0,4h,Good,8.0,07/11/2018 5:00,1541563503
1189,Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,56.0,4h,Good,3.0,4h,Good,11.0,07/11/2018 5:00,1541563503
1190,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,4h,Good,53.0,4h,Good,8.0,07/11/2018 5:00,1541563503
1191,Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,70.0,4h,Good,7.0,4h,Good,5.0,07/11/2018 5:00,1541563503
1192,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,5h,Good,15.0,,Good,0.0,07/11/2018 6:00,1541567103
1193,Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,2.0,5h,Good,67.0,5h,Good,11.0,07/11/2018 6:00,1541567103
1194,Barcelona - Gràcia,--,2.1534,41.3987,3h,--,0.0,3h,--,0.0,,Good,0.0,07/11/2018 6:00,1541567103
1195,Barcelona - Ciutadella,Good,2.1874,41.3864,5h,Good,6.0,5h,Good,45.0,,Good,0.0,07/11/2018 6:00,1541567103
1196,Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,35.0,5h,Good,42.0,5h,Good,8.0,07/11/2018 6:00,1541567103
1197,Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,58.0,5h,Good,3.0,5h,Good,11.0,07/11/2018 6:00,1541567103
1198,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,5h,Good,44.0,5h,Good,9.0,07/11/2018 6:00,1541567103
1199,Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,69.0,5h,Good,10.0,5h,Good,5.0,07/11/2018 6:00,1541567103
1200,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,6h,Good,26.0,,Good,0.0,07/11/2018 7:00,1541570703
1201,Barcelona - Eixample,Good,2.1538,41.3853,6h,Good,4.0,6h,Good,64.0,6h,Good,11.0,07/11/2018 7:00,1541570703
1202,Barcelona - Gràcia,--,2.1534,41.3987,4h,--,0.0,4h,--,0.0,,Good,0.0,07/11/2018 7:00,1541570703
1203,Barcelona - Ciutadella,Good,2.1874,41.3864,6h,Good,3.0,6h,Good,50.0,,Good,0.0,07/11/2018 7:00,1541570703
1204,Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,35.0,6h,Good,33.0,6h,Good,8.0,07/11/2018 7:00,1541570703
1205,Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,46.0,6h,Good,16.0,6h,Good,11.0,07/11/2018 7:00,1541570703
1206,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,6h,Good,51.0,6h,Good,9.0,07/11/2018 7:00,1541570703
1207,Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,60.0,6h,Good,17.0,6h,Good,5.0,07/11/2018 7:00,1541570703
1208,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,7h,Good,41.0,,Good,0.0,07/11/2018 8:00,1541574303
1209,Barcelona - Eixample,Good,2.1538,41.3853,7h,Good,2.0,7h,Good,77.0,7h,Good,12.0,07/11/2018 8:00,1541574303
1210,Barcelona - Gràcia,Good,2.1534,41.3987,7h,Good,32.0,7h,Good,38.0,,Good,0.0,07/11/2018 8:00,1541574303
1211,Barcelona - Ciutadella,Good,2.1874,41.3864,7h,Good,1.0,7h,Good,58.0,,Good,0.0,07/11/2018 8:00,1541574303
1212,Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,5.0,7h,Good,80.0,7h,Good,8.0,07/11/2018 8:00,1541574303
1213,Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,37.0,7h,Good,22.0,7h,Good,11.0,07/11/2018 8:00,1541574303
1214,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,7h,Good,62.0,7h,Good,10.0,07/11/2018 8:00,1541574303
1215,Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,60.0,7h,Good,18.0,7h,Good,5.0,07/11/2018 8:00,1541574303
1216,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,8h,Good,65.0,,Good,0.0,07/11/2018 9:00,1541577903
1217,Barcelona - Eixample,Moderate,2.1538,41.3853,8h,Good,2.0,8h,Moderate,103.0,8h,Good,13.0,07/11/2018 9:00,1541577903
1218,Barcelona - Gràcia,Good,2.1534,41.3987,8h,Good,8.0,8h,Good,71.0,,Good,0.0,07/11/2018 9:00,1541577903
1219,Barcelona - Ciutadella,Good,2.1874,41.3864,8h,Good,2.0,8h,Good,65.0,,Good,0.0,07/11/2018 9:00,1541577903
1220,Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,13.0,8h,Good,68.0,8h,Good,8.0,07/11/2018 9:00,1541577903
1221,Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,26.0,8h,Good,40.0,8h,Good,7.0,07/11/2018 9:00,1541577903
1222,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,8h,Good,72.0,8h,Good,10.0,07/11/2018 9:00,1541577903
1223,Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,68.0,8h,Good,10.0,8h,Good,5.0,07/11/2018 9:00,1541577903
1224,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,9h,Good,71.0,,Good,0.0,07/11/2018 10:00,1541581503
1225,Barcelona - Eixample,Moderate,2.1538,41.3853,9h,Good,2.0,9h,Moderate,112.0,9h,Good,14.0,07/11/2018 10:00,1541581503
1226,Barcelona - Gràcia,Good,2.1534,41.3987,9h,Good,11.0,9h,Good,69.0,,Good,0.0,07/11/2018 10:00,1541581503
1227,Barcelona - Ciutadella,Good,2.1874,41.3864,9h,Good,2.0,9h,Good,72.0,,Good,0.0,07/11/2018 10:00,1541581503
1228,Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,18.0,9h,Good,63.0,9h,Good,9.0,07/11/2018 10:00,1541581503
1229,Barcelona - Palau Reial,Good,2.1151,41.3875,9h,Good,28.0,9h,Good,44.0,9h,Good,7.0,07/11/2018 10:00,1541581503
1230,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,9h,Good,85.0,10h,Good,12.0,07/11/2018 10:00,1541581503
1231,Barcelona - Observ Fabra,Good,2.1239,41.4183,9h,Good,71.0,9h,Good,5.0,9h,Good,5.0,07/11/2018 10:00,1541581503
1232,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,10h,Good,40.0,,Good,0.0,07/11/2018 11:00,1541585103
1233,Barcelona - Eixample,Moderate,2.1538,41.3853,10h,Good,4.0,10h,Moderate,93.0,10h,Good,15.0,07/11/2018 11:00,1541585103
1234,Barcelona - Gràcia,Good,2.1534,41.3987,10h,Good,24.0,10h,Good,46.0,,Good,0.0,07/11/2018 11:00,1541585103
1235,Barcelona - Ciutadella,Good,2.1874,41.3864,10h,Good,3.0,10h,Good,81.0,,Good,0.0,07/11/2018 11:00,1541585103
1236,Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,38.0,10h,Good,34.0,10h,Good,8.0,07/11/2018 11:00,1541585103
1237,Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,40.0,10h,Good,23.0,10h,Good,7.0,07/11/2018 11:00,1541585103
1238,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,10h,Good,77.0,10h,Good,14.0,07/11/2018 11:00,1541585103
1239,Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,69.0,10h,Good,5.0,10h,Good,5.0,07/11/2018 11:00,1541585103
1240,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,11h,Good,21.0,,Good,0.0,07/11/2018 12:00,1541588703
1241,Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,26.0,11h,Good,42.0,11h,Good,16.0,07/11/2018 12:00,1541588703
1242,Barcelona - Gràcia,Good,2.1534,41.3987,10h,Good,24.0,10h,Good,46.0,,Good,0.0,07/11/2018 12:00,1541588703
1243,Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,29.0,11h,Good,50.0,,Good,0.0,07/11/2018 12:00,1541588703
1244,Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,55.0,11h,Good,18.0,11h,Good,8.0,07/11/2018 12:00,1541588703
1245,Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,47.0,11h,Good,14.0,11h,Good,7.0,07/11/2018 12:00,1541588703
1246,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,11h,Good,52.0,11h,Good,14.0,07/11/2018 12:00,1541588703
1247,Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,69.0,11h,Good,5.0,11h,Good,5.0,07/11/2018 12:00,1541588703
1248,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,12h,Good,13.0,,Good,0.0,07/11/2018 13:00,1541592303
1249,Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,26.0,11h,Good,42.0,12h,Good,16.0,07/11/2018 13:00,1541592303
1250,Barcelona - Gràcia,Good,2.1534,41.3987,10h,Good,24.0,10h,Good,46.0,,Good,0.0,07/11/2018 13:00,1541592303
1251,Barcelona - Ciutadella,Good,2.1874,41.3864,12h,Good,48.0,12h,Good,27.0,,Good,0.0,07/11/2018 13:00,1541592303
1252,Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,56.0,12h,Good,18.0,12h,Good,7.0,07/11/2018 13:00,1541592303
1253,Barcelona - Palau Reial,Good,2.1151,41.3875,12h,Good,54.0,12h,Good,6.0,12h,Good,7.0,07/11/2018 13:00,1541592303
1254,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,12h,Good,37.0,12h,Good,14.0,07/11/2018 13:00,1541592303
1255,Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,67.0,12h,Good,8.0,12h,Good,5.0,07/11/2018 13:00,1541592303
1256,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,13h,Good,18.0,,Good,0.0,07/11/2018 14:00,1541595904
1257,Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,34.0,13h,Good,38.0,14h,Good,16.0,07/11/2018 14:00,1541595904
1258,Barcelona - Gràcia,--,2.1534,41.3987,12h,--,0.0,12h,--,0.0,,Good,0.0,07/11/2018 14:00,1541595904
1259,Barcelona - Ciutadella,Good,2.1874,41.3864,13h,Good,44.0,13h,Good,34.0,,Good,0.0,07/11/2018 14:00,1541595904
1260,Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,58.0,13h,Good,17.0,14h,Good,7.0,07/11/2018 14:00,1541595904
1261,Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,47.0,13h,Good,16.0,14h,Good,7.0,07/11/2018 14:00,1541595904
1262,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,13h,Good,30.0,14h,Good,15.0,07/11/2018 14:00,1541595904
1263,Barcelona - Observ Fabra,Good,2.1239,41.4183,13h,Good,68.0,13h,Good,10.0,14h,Good,5.0,07/11/2018 14:00,1541595904
1264,Barcelona - Sants,Good,2.1331,41.3788,,Good,0.0,13h,Good,18.0,,Good,0.0,07/11/2018 15:00,1541599503
1265,Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,34.0,13h,Good,38.0,15h,Good,17.0,07/11/2018 15:00,1541599503
1266,Barcelona - Gràcia,--,2.1534,41.3987,13h,--,0.0,13h,--,0.0,,Good,0.0,07/11/2018 15:00,1541599503
1267,Barcelona - Ciutadella,Good,2.1874,41.3864,14h,Good,30.0,14h,Good,53.0,,Good,0.0,07/11/2018 15:00,1541599503
1268,Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,54.0,14h,Good,23.0,15h,Good,8.0,07/11/2018 15:00,1541599503
1269,Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,47.0,14h,Good,22.0,15h,Good,8.0,07/11/2018 15:00,1541599503
1270,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,14h,Good,35.0,15h,Good,15.0,07/11/2018 15:00,1541599503
1271,Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,59.0,14h,Good,24.0,15h,Good,6.0,07/11/2018 15:00,1541599503
1272,Barcelona - Sants,--,2.1331,41.3788,,Good,0.0,14h,--,0.0,,Good,0.0,07/11/2018 16:00,1541603102
1273,Barcelona - Eixample,Good,2.1538,41.3853,14h,--,0.0,14h,--,0.0,16h,Good,17.0,07/11/2018 16:00,1541603102
1274,Barcelona - Gràcia,Good,2.1534,41.3987,15h,Good,48.0,15h,Good,38.0,,Good,0.0,07/11/2018 16:00,1541603102
1275,Barcelona - Ciutadella,Good,2.1874,41.3864,15h,Good,30.0,15h,Good,55.0,,Good,0.0,07/11/2018 16:00,1541603102
1276,Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,66.0,15h,Good,20.0,15h,Good,8.0,07/11/2018 16:00,1541603102
1277,Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,56.0,15h,Good,16.0,15h,Good,8.0,07/11/2018 16:00,1541603102
1278,Barcelona - Poblenou,Good,2.2045,41.4039,,Good,0.0,15h,Good,44.0,15h,Good,16.0,07/11/2018 16:00,1541603102
